Sno,ID,Subject,Subject Code,Type,Year,Branch,Acad Year,Sem,Credits
1,N230362,Mathematical Methods,23MA1201,BSC-1,E1,ECE,2025-26,Semester II,4
2,N230362,Network Theory,23EE1211,BSC-2,E1,ECE,2025-26,Semester II,4
3,N230362,Object Oriented Programming,23CS1209,ESC-1,E1,ECE,2025-26,Semester II,2
4,N230362,Object Oriented Programming Laboratory,23CS1289,ESC-2,E1,ECE,2025-26,Semester II,1.5
5,N230362,Computational Lab,23EC1285,ESC-3,E1,ECE,2025-26,Semester II,1.5
6,N230362,English-Language Communication skills Lab-1,23EG1281,HSC,E1,ECE,2025-26,Semester II,2.5
7,N230362,Signals and Systems,23EC1203,PCC,E1,ECE,2025-26,Semester II,4
8,N230362,Electronic Devices and Circuits,23EC1201,PCC-1,E1,ECE,2025-26,Semester II,4
9,N230362,Electronic Devices and Circuits Lab,23EC1281,PCC-2,E1,ECE,2025-26,Semester II,1.5
10,N220946,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
11,N220946,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
12,N220946,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
13,N220946,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
14,N220946,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
15,N220946,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
16,N220946,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
17,N220946,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
18,N220946,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
19,N220031,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
20,N220031,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
21,N220031,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
22,N220031,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
23,N220031,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
24,N220031,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
25,N220031,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
26,N220031,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
27,N220031,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
28,N220689,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
29,N220689,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
30,N220689,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
31,N220689,Communication Systems-1 Lab,23EC2281,PCC-2,E2,ECE,2025-26,Semester II,1.5
32,N220689,Digital System Design,23EC2202,PCC-3,E2,ECE,2025-26,Semester II,3
33,N220689,Digital System Design Lab,23EC2282,PCC-4,E2,ECE,2025-26,Semester II,1.5
34,N220689,Linear Integrated Circuits,23EC2203,PCC-5,E2,ECE,2025-26,Semester II,4
35,N220689,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,ECE,2025-26,Semester II,1.5
36,N220689,Electromagnetic Waves & Guided Media,23EC2204,PCC-7,E2,ECE,2025-26,Semester II,4
37,N200983,Community Service,20HS4299,HSC,E4,ECE,2025-26,Semester II,2
38,N200983,Global Management Perspectives,20HS4205,OEC,E4,ECE,2025-26,Semester II,3
39,N200983,Digital IC design,ECNPTEL13,PEC-5,E4,ECE,2025-26,Semester II,3
40,N200983,Project-II & Dissertation,20EC4294,PROJ,E4,ECE,2025-26,Semester II,6
41,N241053,English-IV,23PEG2201,Core-1,P2,PUC,2025-26,Semester II,4
42,N241053,Mathematics-IV,23PMA2201,Core-2,P2,PUC,2025-26,Semester II,5
